,개방서비스명,상세영업상태코드,상세영업상태명,소재지전체주소,사업장명,업태구분명,시도,시군구,시도 시군구
9439,단란주점영업,1,영업,부산광역시 수영구 수영동 449-22번지,팔도실내포장,단란주점,부산광역시,수영구,부산광역시 수영구
9440,단란주점영업,1,영업,부산광역시 수영구 망미동 413-27번지,돌고래,단란주점,부산광역시,수영구,부산광역시 수영구
9441,단란주점영업,1,영업,부산광역시 수영구 남천동 8-4번지 2층,킹덤,단란주점,부산광역시,수영구,부산광역시 수영구
9442,단란주점영업,1,영업,부산광역시 수영구 남천동 9-19 2층,뉴샤넬,단란주점,부산광역시,수영구,부산광역시 수영구
9443,단란주점영업,1,영업,부산광역시 수영구 민락동 181-48번지,와바,단란주점,부산광역시,수영구,부산광역시 수영구
9444,단란주점영업,1,영업,부산광역시 수영구 광안동 200-1,노래찾는사람들,단란주점,부산광역시,수영구,부산광역시 수영구
9445,단란주점영업,1,영업,부산광역시 수영구 광안동 75-5,올빼미원탁가라오케,단란주점,부산광역시,수영구,부산광역시 수영구
9446,단란주점영업,1,영업,부산광역시 수영구 남천동 9-15번지 2층,명품,단란주점,부산광역시,수영구,부산광역시 수영구
9447,단란주점영업,1,영업,부산광역시 수영구 남천동 9-16 (2층),미인관,단란주점,부산광역시,수영구,부산광역시 수영구
9448,단란주점영업,1,영업,부산광역시 수영구 수영동 312-2 지하1층,로망스,단란주점,부산광역시,수영구,부산광역시 수영구
9449,단란주점영업,1,영업,부산광역시 수영구 광안동 203-13,좋은날,단란주점,부산광역시,수영구,부산광역시 수영구
9450,단란주점영업,1,영업,부산광역시 수영구 남천동 12-3 지하1층,선주,단란주점,부산광역시,수영구,부산광역시 수영구
9451,단란주점영업,1,영업,부산광역시 수영구 광안동 168-7번지,연꽃,단란주점,부산광역시,수영구,부산광역시 수영구
9452,단란주점영업,1,영업,부산광역시 기장군 기장읍 교리 351-10번지,추카추카,단란주점,부산광역시,기장군,부산광역시 기장군
